+Requests: 300
req0;z10;4;557;307;car8,car9,car6,car7,car4,car5,car30,car31,car32,car10,car33,car11,car34,car12,car35,car13,car36,car14,car37,car15,car16,car38,car39,car17,car18,car19,car2,car3,car0,car20,car1,car21,car22,car23,car24,car25,car27,car28,car29;310;60
req1;z17;4;903;191;car8,car9,car6,car30,car31,car10,car11,car34,car12,car35,car36,car15,car37,car16,car17,car39,car19,car2,car3,car21,car23,car24,car25,car27,car28;190;40
req2;z7;5;693;256;car3,car11,car26,car15,car8,car17,car28,car6;260;50
req3;z17;1;842;216;car8,car9,car6,car7,car5,car30,car31,car32,car11,car33,car12,car34,car35,car36,car14,car15,car38,car39,car17,car18,car19,car3,car0,car20,car21,car22,car24,car25,car26,car27,car28,car29;220;45
req4;z11;3;621;239;car8,car6,car7,car5,car2,car31,car1,car10,car22,car11,car24,car14,car15,car38,car16,car17,car29,car18,car19;240;50
req5;z23;3;645;186;car8,car9,car6,car7,car4,car5,car30,car31,car10,car32,car11,car33,car12,car34,car13,car35,car36,car14,car15,car37,car16,car38,car39,car17,car18,car19,car2,car3,car20,car21,car1,car22,car23,car24,car25,car26,car28,car29;190;40
req6;z11;4;678;302;car20,car25,car16,car9,car29;300;60
req7;z0;0;495;352;car8,car9,car6,car7,car4,car5,car30,car31,car10,car32,car33,car11,car34,car12,car13,car35,car14,car36,car15,car37,car16,car38,car39,car17,car18,car3,car20,car0,car1,car21,car22,car23,car24,car25,car27,car28,car29;350;70
req8;z9;3;601;318;car20,car26,car39;320;65
req9;z15;1;694;329;car36,car9,car29,car5;330;65
req10;z14;1;535;325;car9,car6,car31,car32,car10,car1,car22,car23,car13,car35,car25,car37,car15,car16,car27,car39,car28,car17,car29,car19;330;65
req11;z19;2;598;246;car8,car9,car6,car4,car5,car30,car31,car11,car33,car34,car13,car35,car36,car14,car15,car37,car16,car17,car18,car20,car1,car23,car24,car25,car27,car28;250;50
req12;z2;3;954;193;car8,car9,car7,car4,car5,car30,car31,car33,car12,car34,car35,car13,car36,car14,car37,car15,car16,car39,car18,car19,car0,car21,car1,car22,car23,car25,car26,car27,car28,car29;190;40
req13;z5;2;704;286;car8,car6,car7,car4,car5,car30,car31,car10,car32,car33,car11,car34,car12,car13,car36,car14,car37,car15,car16,car39,car18,car19,car3,car0,car20,car23,car24,car25,car26,car27,car28,car29;290;60
req14;z21;4;581;233;car9,car4,car0,car32,car10,car1,car33,car11,car12,car34,car35,car24,car13,car36,car25,car26,car27,car16,car38,car28,car39,car29,car18;230;45
req15;z17;2;719;358;car27,car18;360;70
req16;z11;1;599;285;car11,car23,car12,car37,car39,car9;290;60
req17;z19;5;949;187;car30,car34,car35,car14,car39,car29,car18,car19,car4;190;40
req18;z20;3;706;243;car8,car9,car6,car4,car5,car30,car31,car32,car33,car11,car12,car34,car35,car36,car15,car37,car38,car16,car39,car17,car18,car19,car2,car3,car0,car20,car21,car22,car25,car27,car29;240;50
req19;z11;1;759;198;car1,car32,car23;200;40
req20;z2;5;517;258;car8,car9,car6,car7,car4,car5,car30,car31,car32,car33,car11,car12,car13,car35,car36,car14,car37,car15,car16,car38,car39,car17,car19,car2,car3,car21,car1,car22,car23,car25,car26,car27,car29;260;50
req21;z3;5;927;202;car8,car9,car4,car30,car0,car1,car21,car35,car14,car15,car16,car17,car19;200;40
req22;z3;4;928;206;car9,car7,car5,car2,car30,car31,car32,car10,car21,car22,car34,car13,car24,car14,car25,car15,car37,car16,car29,car19;210;40
req23;z9;0;661;238;car3,car10,car34,car13,car25,car15,car26,car27,car16,car29,car19,car5;240;50
req24;z19;2;526;345;car8,car9,car6,car7,car4,car5,car30,car31,car32,car10,car33,car11,car34,car12,car35,car13,car14,car37,car15,car16,car38,car17,car39,car18,car2,car3,car0,car20,car21,car1,car22,car23,car24,car25,car26,car27,car28,car29;350;70
req25;z22;2;730;270;car8,car6,car4,car5,car30,car31,car10,car32,car11,car33,car34,car12,car35,car36,car14,car37,car17,car19,car2,car3,car0,car20,car21,car1,car22,car24,car25,car26,car27,car28,car29;270;55
req26;z7;2;662;321;car9,car6,car7,car4,car5,car30,car32,car11,car33,car12,car34,car35,car13,car14,car36,car37,car38,car17,car2,car3,car0,car21,car22,car23,car25,car27,car28,car29;320;65
req27;z20;5;795;297;car12,car15,car39,car7;300;60
req28;z8;0;697;317;car33,car11,car23,car39,car17,car29,car6,car19,car5;320;65
req29;z22;3;703;327;car2,car22,car36,car15,car17;330;65
req30;z18;0;954;196;car8,car9,car7,car5,car30,car10,car32,car33,car11,car12,car34,car13,car35,car36,car14,car15,car38,car16,car17,car39,car18,car19,car2,car3,car0,car20,car21,car22,car23,car24,car25,car26,car27,car28,car29;200;40
req31;z7;1;776;285;car8,car9,car6,car7,car4,car30,car31,car32,car10,car11,car33,car12,car35,car13,car36,car14,car37,car16,car38,car17,car18,car19,car2,car0,car1,car21,car22,car23,car25,car26,car27,car28,car29;290;60
req32;z21;1;654;320;car0,car1,car10,car15,car18,car9,car19;320;65
req33;z19;0;498;315;car32,car10,car36,car14,car37;320;65
req34;z10;4;597;183;car9,car6,car7,car4,car5,car30,car10,car32,car11,car34,car12,car35,car14,car36,car37,car16,car39,car17,car18,car2,car3,car21,car23,car25,car26,car27,car28,car29;180;35
req35;z24;3;548;313;car8,car9,car4,car5,car2,car3,car31,car20,car1,car10,car22,car23,car12,car34,car24,car13,car25,car15,car38,car17,car18,car19;310;60
