+Requests: 716
10698320;z3;81;690;552;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;552;184
10183126;z1;2;960;200;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;200;66
10183131;z1;6;900;270;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;270;90
10183133;z1;9;960;240;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;240;80
10183146;z1;16;780;388;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;388;129
10183157;z1;20;900;266;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;266;88
10183160;z1;23;960;203;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;203;67
10183166;z1;27;900;265;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;265;88
10183170;z1;30;960;209;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;209;69
10183173;z1;34;900;97;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;97;32
10183197;z1;37;960;214;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;214;71
10183201;z1;41;900;300;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;300;100
10183203;z1;44;960;240;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;240;80
10183206;z1;51;900;260;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;260;86
10183226;z1;58;960;240;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;240;80
10183251;z1;62;900;258;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;258;86
10183253;z1;65;960;200;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;200;66
10183263;z1;69;900;256;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;256;85
10183265;z1;72;960;240;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;240;80
10183574;z1;6;540;180;1FAI064,1PTS121,1GJE032,1JSY213,1KEE333,1HTN678,1KHG794,1LFB887,1RED033,1LFB910,1NJY897;180;60
