+Requests: 100
req0;z10;4;1072;127;car2,car3,car0,car8,car9,car6,car7,car4,car5;130;25
req1;z4;2;889;166;car2,car0,car8,car9,car7,car4,car5;170;35
req2;z0;5;789;292;car2,car3,car0,car1,car8,car9,car6,car4,car5;290;60
req3;z12;0;728;331;car2,car0,car1,car8,car9,car6,car7,car4,car5;330;65
req4;z20;4;556;305;car0,car6;310;60
req5;z24;5;559;294;car3,car8,car7,car4;290;60
req6;z17;4;903;191;car0,car6,car7,car5;190;40
req7;z19;2;941;203;car1,car8,car9,car6,car4;200;40
req8;z21;1;1000;145;car1,car4;150;30
req9;z16;4;664;208;car2,car3,car0,car9,car7,car4,car5;210;40
req10;z1;6;523;277;car2,car3,car0,car1,car8,car9,car6,car7,car5;280;55
req11;z20;2;843;215;car0,car8,car6,car5;220;45
req12;z12;1;810;189;car2,car3,car0,car1,car8,car9,car5;190;40
req13;z16;1;921;127;car2,car8,car7,car5;130;25
req14;z19;1;603;276;car3,car8;280;55
req15;z13;5;674;240;car9;240;50
req16;z22;4;580;198;car0,car1,car8,car9,car6,car7,car4,car5;200;40
req17;z23;4;746;242;car2,car1,car8,car9,car6,car4,car5;240;50
req18;z20;3;603;295;car2,car3,car0,car1,car9,car6,car5;300;60
req19;z3;5;627;249;car3,car0,car1,car8,car9,car6,car4,car5;250;50
req20;z20;3;812;327;car3,car0,car8,car9,car4,car5;330;65
req21;z6;4;970;203;car2,car3,car0,car1,car8,car9,car6,car7,car4;200;40
req22;z5;6;621;143;car2,car3,car0,car8,car9,car6,car7,car4,car5;140;30
req23;z22;6;589;224;car2,car3,car0,car1,car8,car9,car6,car7,car5;220;45
req24;z19;6;733;326;car3,car0,car1,car8,car9,car6,car7,car4,car5;330;65
req25;z15;2;769;189;car3,car0,car1,car8,car9,car6,car4;190;40
req26;z19;6;515;343;car3,car8,car4,car5;340;70
req27;z9;0;810;323;car3,car0,car8,car9,car6,car7,car5;320;65
req28;z0;2;815;287;car2,car0,car1,car7,car4;290;60
req29;z22;0;652;324;car0,car5;320;65
req30;z1;0;510;277;car3,car0,car8,car9;280;55
req31;z18;2;524;245;car3,car0,car1,car8,car5;250;50
req32;z9;0;555;184;car7;180;35
req33;z5;2;480;347;car5;350;70
req34;z17;2;803;252;car1;250;50
req35;z5;5;979;218;car0,car1,car8,car9,car6,car7,car4;220;45
req36;z9;6;786;146;car3,car9,car6,car4,car5;150;30
req37;z14;2;550;205;car3,car5;210;40
req38;z9;0;703;343;car3,car0,car1,car8,car9,car6;340;70
req39;z2;4;790;268;car2,car0,car8,car9,car6,car7,car4,car5;270;55
req40;z1;5;793;293;car3,car0,car1,car8,car9,car6,car7,car4,car5;290;60
req41;z0;1;851;297;car3,car1,car8,car6,car7;300;60
req42;z0;0;896;244;car2,car3,car0,car7,car4,car5;240;50
req43;z16;2;679;245;car3;250;50
req44;z1;3;852;120;car2,car8,car6;120;25
req45;z22;2;582;271;car2,car3,car1,car8,car9,car7;270;55
req46;z15;0;654;280;car3,car0,car1,car8,car6,car7,car4;280;55
req47;z24;3;932;193;car0,car1,car6,car4,car5;190;40
req48;z22;0;591;148;car8,car7,car5;150;30
req49;z0;3;882;283;car3,car0,car1,car8,car9,car6,car7,car4,car5;280;55
req50;z20;4;622;166;car3,car0,car8,car9,car6,car7;170;35
req51;z5;1;566;185;car0,car5;190;40
req52;z10;6;648;149;car3;150;30
req53;z18;5;805;258;car2,car3,car0,car1,car8,car9,car5;260;50
req54;z3;3;672;296;car2,car3,car0,car8,car9,car6,car7,car4,car5;300;60
req55;z20;0;595;233;car3,car0,car1,car8,car6,car4,car5;230;45
req56;z17;6;533;298;car8,car7;300;60
req57;z11;1;1034;165;car2,car3,car1,car9,car7,car4;170;35
